key,cites,id_scholar,cid
adam-smith2011,7,TQgYirikUcIC,7959856223518266074
agha2011,8,TFP_iSt0sucC,15936640823202819055
ahn2018,19,mNrWkgRL2YcC,8794916882115553925
ahn2019,4,BJbdYPG6LGMC,11336997810447433109
ahrens2019,40,bKqednn6t2AC,6933457760051105332
al-soneidar2022,8,PyEswDtIyv0C,17802808403117351709
al-soneidar2022a,3,HhcuHIWmDEUC,17183605199643511872
al-soneidar2024a,4,qE4H1tSSYIIC,13797277146427057145
alcantara2025,0,eI34FqJmdUoC,
alvarado2009,11,-f6ydRqryjwC,3300012737663775131
anato2023a,11,SAZ1SQo2q1kC,13595559652227694083
arsenault2017,95,uWiczbcajpAC,17964067854562741500
arsenault2017a,83,hMsQuOkrut0C,12043505978696005743
arsenault2017b,55,zLWjf1WUPmwC,9668898698481504329
arsenault2020,10,1lhNe0rCu4AC,15925106964221848209
auger2011,41,KlAtU1dfN6UC,4890372687883203752
auger2011b,29,QIV2ME_5wuYC,4190738686919313892
auger2012a,64,9ZlFYXVOiuMC,3186558711605288081
auger2012b,12,BqipwSGYUEgC,2293058951744663748
auger2012c,28,hC7cP41nSMkC,7836897766216007191
auger2013a,8,D03iK_w7-QYC,11429953805337334888
auger2014,91,J-pR_7NvFogC,4627857844313089531
austin2016a,5,kzcrU_BdoSEC,10826064826532277512
austin2016b,23,2KloaMYe4IUC,14115428015263949877
austin2018,43,umqufdRvDiIC,10162956889745749180
austin2019,19,gKiMpY-AVTkC,12614034044009451223
austin2019a,34,tH6gc1N1XXoC,7143688836996837468
banack2012,100,Z5m8FVwuT1cC,"18356744264798416460,11516396291519379576"
banack2018,27,4hFrxpcac9AC,6052647557027844980
bannon2025,7,37UQlXuwjP4C,15229183233488134859
baumgartner2025,2,4Yq6kJLCcecC,16822935465368536171
burgos-ochoa2024a,5,hvmnpdAuIbkC,2244435364392837504
capurro2022,12,-jrNzM816MMC,17581800717661718766
carabali2021,48,v1_lew4L6wgC,12706395601771752283
carabali2022,8,-7ulzOJl1JYC,7328176740267463657
carter2017,17,9Nmd_mFXekcC,4753955411954265175
charters2016,17,tzM49s52ZIMC,1542105798893514963
chen2025,10,LGlY6t8CeOMC,6483390018518693303
cho2007,28,0EnyYjriUFMC,15581943405960919097
clark2022b,114,Dem6FJhTUoYC,11309425363995433637
elani2012,156,m4fbC6XIj1kC,3507594286019472891
elani2017,115,p__nRnzSRKYC,6048756296838959232
farhat2026,0,hNSvKAmkeYkC,
frenz2014,141,738O_yMBCRsC,17783282704885824668
goldstein2020,13,QD3KBmkZPeQC,13331234356744643249
graham2021,13,Br1UauaknNIC,17583069858188597551
gravesteijn2024a,2,JP7YXuLIOvAC,13341585112304948139
gray2016,53,uc_IGeMz5qoC,2958451230887583417
hajizadeh2015,92,1yQoGdGgb4wC,7982779823860517810
hajna2015,92,_Ybze24A_UAC,14368358184707826205
hajna2016,45,NJ774b8OgUMC,11159036568511217737
hall2009,909,Y0pCki6q_DkC,4934880253898804809
hamadani2019,17,lvd772isFD0C,12752876995318528756
hamra2019,14,Bg7qf7VwUHIC,17160259074148066225
Harper:2012ee,298,isC4tDSrTZIC,16360284090138940705
Harper:2019rp,40,ZzlSgRqYykMC,17028838650402825309
harper2002,247,u-x6o8ySG0sC,15492392139454087193
harper2006,16,3fE2CSJIrl8C,13555460330101288240
harper2007a,350,d1gkVwhDpl0C,17989599723687987435
harper2007b,33,8k81kl-MbHgC,6925278238960633452
harper2007d,267,qjMakFHDy7sC,11745635549141882946
harper2007e,4,M3ejUd6NZC8C,6454646879808294666
harper2007f,4,4DMP91E08xMC,15362916992659287634
harper2008,254,UeHWp8X0CEIC,3426564870752000738
harper2008a,9,_kc_bZDykSQC,1331860760518668120
harper2008b,,,
harper2009a,287,W7OEmFMy1HYC,11774061317373456043
harper2009b,0,_Qo2XoVZTnwC,
harper2010,401,LkGwnXOMwfcC,339549748494205326
harper2010a,1,NaGl4SEjCO4C,1365763635161804753
harper2011,219,Zph67rFs4hoC,9918105167447329352
harper2012,85,SeFeTyx0c_EC,175154025726990401
harper2012c,103,J_g5lzvAfSwC,15191478229715797433
harper2012d,2,a3BOlSfXSfwC,8578148617475983806
harper2013,1,cFHS6HbyZ2cC,7213137308322606333
harper2013a,52,pyW8ca7W8N0C,112083956983837015
harper2013b,70,l7t_Zn2s7bgC,6502539551144643995
harper2014,112,tkaPQYYpVKoC,1979008215527816163
harper2014a,401,LkGwnXOMwfcC,339549748494205326
harper2014b,59,geHnlv5EZngC,7223212191967699408
harper2015a,66,ZuybSZzF8UAC,18145374635785351162
harper2015b,104,dQ2og3OwTAUC,15253275447482584760
harper2017a,18,TIZ-Mc8IlK0C,17174736928939935465
harper2017b,56,MLfJN-KU85MC,8671436871639196961
harper2017c,24,L7CI7m0gUJcC,462798188744967645
harper2019b,9,yMeIxYmEMEAC,1305809945697895948
harper2019c,0,OcBU2YAGkTUC,
harper2019ph,11,5MTHONV0fEkC,7384331452935231238
harper2021,197,7Hz3ACDFbsoC,10692917917329857821
harper2023,6,D_tqNUsBuKoC,16036763413235651259
hawkins2020,100,fFSKOagxvKUC,7959532220431881909
hawkins2023a,4,FiDNX6EVdGUC,10969667510435953728
hetherington2023,2,C33y2ycGS3YC,17075263882160855902
hetherington2024a,4,c1e4I3QdEKYC,11200256645821354124
hillemeier2003,55,_FxGoFyzp5QC,10293309454159275887
hillemezer2003,154,IjCSPb-OGe4C,17860321404086278413
hosseinpoor2012,295,GnPB-g6toBAC,6151042860463199939
hosseinpoor2012a,35,sfnaS5RM6jYC,11732432503848465997
hosseinpoor2012b,344,nZcligLrVowC,14514818329195896745
hutcheon2015,17,eMMeJKvmdy0C,8852021307463334799
hutcheon2015a,29,LjlpjdlvIbIC,9453126074916580187
hutcheon2016,0,_Re3VWB3Y0AC,
hutcheon2017,23,ipzZ9siozwsC,13105250724760231206
hutcheon2017a,4,ILKRHgRFtOwC,15765068989573609612
hutcheon2019,76,ODE9OILHJdcC,2888724756683888398
hutcheon2019a,16,4vMrXwiscB8C,8513447682602321376
hutcheon2020,27,cK4Rrx0J3m0C,16032043117623027955
hutcheon2021,5,LdasjJ6CEcoC,1090094241537002092
hutcheon2021a,0,rHJHxKgnXwkC,
hutcheon2022,13,jE2MZjpN3IcC,5118957682711606269
hutcheon2025,1,c_xDhezhKKUC,17901068476520496996
huynh2005,112,4e5Qn2KL_jwC,14796855667889369325
jackson2006,55,WF5omc3nYNoC,3046500510126401338
Jahagirdar:2017aa,13,foquWX3nUaYC,12387757622351743785
jahagirdar2021,4,43bX7VzcjpAC,1686674571978345289
jamieson2016,66,z_wVstp3MssC,7902106174215128253
johri2020,57,BzfGm06jWhQC,14817834649761362559
kaufman2011,5,iH-uZ7U-co4C,12277559668891287035
kaufman2012,3,HoB7MX3m0LUC,10386257813651041224
kaufman2013,15,tS2w5q8j5-wC,7964012194528013798
kaufman2019a,14,F1b5ZUV5XREC,17915419803336974445
